fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,
NF,51.621244,-115.608378,2298.000000,,,16.000000,342.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2287.000000,,,24.000000,324.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2274.000000,,,32.000000,308.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2254.000000,,,41.000000,298.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2224.000000,,,42.000000,305.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2195.000000,,,44.000000,315.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2184.000000,,,45.000000,312.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2202.000000,,,19.000000,45.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2242.000000,,,65.000000,91.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2272.000000,,,42.000000,93.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2298.000000,,,16.000000,86.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2327.000000,,,24.000000,86.000000,,,,,101,,,,,,,20,,,nan,,
O1a,51.621244,-115.608378,2332.000000,,,27.000000,85.000000,60,,,,31,,,,,,,20,,,0.350000,,
NF,51.621244,-115.608378,2291.000000,,,19.000000,84.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2243.000000,,,3.000000,153.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2202.000000,,,9.000000,217.000000,,,,,101,,,,,,,20,,,nan,,
C1,51.621244,-115.608378,2159.000000,,,6.000000,123.000000,,,,,1,,,,,,,20,,,0.750000,,
C1,51.621244,-115.608378,2132.000000,,,8.000000,91.000000,,,,,1,,,,,,,20,,,0.750000,,
C1,51.621244,-115.608378,2114.000000,,,7.000000,162.000000,,,,,1,,,,,,,20,,,0.750000,,
C2,51.621244,-115.608378,2118.000000,,,16.000000,183.000000,,,,,2,,,,,,,20,,,0.800000,,
O1a,51.621244,-115.608378,2384.000000,,,40.000000,345.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2372.000000,,,52.000000,335.000000,60,,,,31,,,,,,,20,,,0.350000,,
NF,51.621244,-115.608378,2348.000000,,,60.000000,334.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2321.000000,,,67.000000,327.000000,,,,,101,,,,,,,20,,,nan,,
O1a,51.621244,-115.608378,2294.000000,,,69.000000,325.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2264.000000,,,66.000000,329.000000,60,,,,31,,,,,,,20,,,0.350000,,
NF,51.621244,-115.608378,2246.000000,,,47.000000,338.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2266.000000,,,44.000000,65.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2310.000000,,,73.000000,90.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2346.000000,,,38.000000,97.000000,,,,,101,,,,,,,20,,,nan,,
O1a,51.621244,-115.608378,2362.000000,,,16.000000,102.000000,60,,,,31,,,,,,,20,,,0.350000,,
