nf,,,,,51.621244,-115.608378,2298.0,,,,,16.0,342.0,,,,,20
nf,,,,,51.621244,-115.608378,2287.0,,,,,24.0,324.0,,,,,20
nf,,,,,51.621244,-115.608378,2274.0,,,,,32.0,308.0,,,,,20
nf,,,,,51.621244,-115.608378,2254.0,,,,,41.0,298.0,,,,,20
nf,,,,,51.621244,-115.608378,2224.0,,,,,42.0,305.0,,,,,20
nf,,,,,51.621244,-115.608378,2195.0,,,,,44.0,315.0,,,,,20
nf,,,,,51.621244,-115.608378,2184.0,,,,,45.0,312.0,,,,,20
nf,,,,,51.621244,-115.608378,2202.0,,,,,19.0,45.0,,,,,20
nf,,,,,51.621244,-115.608378,2242.0,,,,,65.0,91.0,,,,,20
nf,,,,,51.621244,-115.608378,2272.0,,,,,42.0,93.0,,,,,20
nf,,,,,51.621244,-115.608378,2298.0,,,,,16.0,86.0,,,,,20
nf,,,,,51.621244,-115.608378,2327.0,,,,,24.0,86.0,,,,,20
o1a,,,,,51.621244,-115.608378,2332.0,,,,,27.0,85.0,,,0.35,60.0,20
nf,,,,,51.621244,-115.608378,2291.0,,,,,19.0,84.0,,,,,20
nf,,,,,51.621244,-115.608378,2243.0,,,,,3.0,153.0,,,,,20
nf,,,,,51.621244,-115.608378,2202.0,,,,,9.0,217.0,,,,,20
c1,,,,,51.621244,-115.608378,2159.0,,,,,6.0,123.0,,,0.75,,20
c1,,,,,51.621244,-115.608378,2132.0,,,,,8.0,91.0,,,0.75,,20
c1,,,,,51.621244,-115.608378,2114.0,,,,,7.0,162.0,,,0.75,,20
c2,,,,,51.621244,-115.608378,2118.0,,,,,16.0,183.0,,,0.8,,20
o1a,,,,,51.621244,-115.608378,2384.0,,,,,61.0,346.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2372.0,,,,,69.0,335.0,,,0.35,60.0,20
nf,,,,,51.621244,-115.608378,2348.0,,,,,72.0,335.0,,,,,20
nf,,,,,51.621244,-115.608378,2321.0,,,,,68.0,332.0,,,,,20
o1a,,,,,51.621244,-115.608378,2294.0,,,,,53.0,327.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2264.0,,,,,32.0,318.0,,,0.35,60.0,20
nf,,,,,51.621244,-115.608378,2246.0,,,,,5.0,33.0,,,,,20
nf,,,,,51.621244,-115.608378,2266.0,,,,,58.0,97.0,,,,,20
nf,,,,,51.621244,-115.608378,2310.0,,,,,79.0,97.0,,,,,20
nf,,,,,51.621244,-115.608378,2346.0,,,,,39.0,105.0,,,,,20
o1a,,,,,51.621244,-115.608378,2362.0,,,,,18.0,126.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2377.0,,,,,23.0,114.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2369.0,,,,,24.0,109.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2333.0,,,,,18.0,103.0,,,0.35,60.0,20
nf,,,,,51.621244,-115.608378,2288.0,,,,,17.0,95.0,,,,,20
nf,,,,,51.621244,-115.608378,2234.0,,,,,10.0,136.0,,,,,20
nf,,,,,51.621244,-115.608378,2191.0,,,,,18.0,206.0,,,,,20
c1,,,,,51.621244,-115.608378,2164.0,,,,,12.0,204.0,,,0.75,,20
nf,,,,,51.621244,-115.608378,2137.0,,,,,6.0,56.0,,,,,20
c2,,,,,51.621244,-115.608378,2140.0,,,,,15.0,17.0,,,0.8,,20
o1a,,,,,51.621244,-115.608378,2412.0,,,,,15.0,334.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2414.0,,,,,11.0,286.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2408.0,,,,,11.0,221.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2385.0,,,,,17.0,198.0,,,0.35,60.0,20
nf,,,,,51.621244,-115.608378,2355.0,,,,,19.0,190.0,,,,,20
nf,,,,,51.621244,-115.608378,2331.0,,,,,17.0,188.0,,,,,20
o1a,,,,,51.621244,-115.608378,2322.0,,,,,27.0,132.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2336.0,,,,,72.0,109.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2360.0,,,,,77.0,109.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2377.0,,,,,35.0,123.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2387.0,,,,,17.0,147.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2389.0,,,,,20.0,126.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2378.0,,,,,17.0,117.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2360.0,,,,,9.0,115.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2332.0,,,,,9.0,103.0,,,0.35,60.0,20
nf,,,,,51.621244,-115.608378,2286.0,,,,,15.0,86.0,,,,,20
nf,,,,,51.621244,-115.608378,2233.0,,,,,14.0,94.0,,,,,20
nf,,,,,51.621244,-115.608378,2196.0,,,,,12.0,190.0,,,,,20
nf,,,,,51.621244,-115.608378,2179.0,,,,,24.0,211.0,,,,,20
nf,,,,,51.621244,-115.608378,2188.0,,,,,23.0,197.0,,,,,20
o1a,,,,,51.621244,-115.608378,2395.0,,,,,12.0,183.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2399.0,,,,,12.0,193.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2404.0,,,,,12.0,202.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2403.0,,,,,12.0,203.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2397.0,,,,,13.0,202.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2383.0,,,,,12.0,187.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2367.0,,,,,26.0,115.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2363.0,,,,,67.0,95.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2372.0,,,,,66.0,92.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2380.0,,,,,24.0,103.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2387.0,,,,,13.0,128.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2386.0,,,,,18.0,115.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2379.0,,,,,15.0,125.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2369.0,,,,,11.0,147.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2351.0,,,,,11.0,146.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2324.0,,,,,13.0,129.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2287.0,,,,,17.0,111.0,,,0.35,60.0,20
nf,,,,,51.621244,-115.608378,2258.0,,,,,15.0,107.0,,,,,20
nf,,,,,51.621244,-115.608378,2257.0,,,,,9.0,164.0,,,,,20
nf,,,,,51.621244,-115.608378,2264.0,,,,,16.0,188.0,,,,,20
o1a,,,,,51.621244,-115.608378,2375.0,,,,,64.0,183.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2379.0,,,,,61.0,192.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2384.0,,,,,53.0,198.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2390.0,,,,,40.0,200.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2392.0,,,,,28.0,205.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2391.0,,,,,17.0,204.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2385.0,,,,,18.0,121.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2373.0,,,,,56.0,94.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2370.0,,,,,67.0,91.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2374.0,,,,,36.0,97.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2377.0,,,,,15.0,131.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2378.0,,,,,15.0,131.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2373.0,,,,,16.0,123.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2366.0,,,,,13.0,136.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2352.0,,,,,13.0,147.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2335.0,,,,,16.0,138.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2325.0,,,,,18.0,133.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2318.0,,,,,18.0,137.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2317.0,,,,,14.0,149.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2323.0,,,,,9.0,172.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2351.0,,,,,25.0,172.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2355.0,,,,,36.0,185.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2362.0,,,,,51.0,200.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2370.0,,,,,62.0,208.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2375.0,,,,,66.0,215.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2380.0,,,,,57.0,218.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2384.0,,,,,28.0,205.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2376.0,,,,,33.0,96.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2366.0,,,,,66.0,85.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2363.0,,,,,57.0,92.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2367.0,,,,,31.0,117.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2369.0,,,,,21.0,149.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2366.0,,,,,20.0,148.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2360.0,,,,,19.0,145.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2348.0,,,,,17.0,150.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2334.0,,,,,17.0,149.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2323.0,,,,,18.0,142.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2321.0,,,,,16.0,135.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2321.0,,,,,12.0,152.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2320.0,,,,,12.0,180.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2320.0,,,,,44.0,27.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2326.0,,,,,44.0,58.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2339.0,,,,,17.0,93.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2351.0,,,,,24.0,205.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2357.0,,,,,43.0,217.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2365.0,,,,,57.0,223.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2372.0,,,,,63.0,229.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2370.0,,,,,29.0,214.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2361.0,,,,,55.0,92.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2356.0,,,,,81.0,87.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2357.0,,,,,40.0,94.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2359.0,,,,,11.0,132.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2358.0,,,,,13.0,135.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2352.0,,,,,15.0,129.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2337.0,,,,,15.0,134.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2326.0,,,,,14.0,139.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2314.0,,,,,12.0,142.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2304.0,,,,,15.0,138.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2302.0,,,,,14.0,150.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2301.0,,,,,12.0,178.0,,,0.35,60.0,20
c1,,,,,51.621244,-115.608378,2294.0,,,,,25.0,84.0,,,0.75,,20
c1,,,,,51.621244,-115.608378,2301.0,,,,,59.0,85.0,,,0.75,,20
o1a,,,,,51.621244,-115.608378,2313.0,,,,,51.0,86.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2326.0,,,,,24.0,100.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2337.0,,,,,18.0,193.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2349.0,,,,,41.0,225.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2359.0,,,,,59.0,232.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2361.0,,,,,61.0,232.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2355.0,,,,,30.0,152.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2350.0,,,,,76.0,97.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2349.0,,,,,57.0,95.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2350.0,,,,,19.0,119.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2350.0,,,,,9.0,150.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2342.0,,,,,14.0,117.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2325.0,,,,,19.0,123.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2312.0,,,,,18.0,148.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2299.0,,,,,17.0,158.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2291.0,,,,,20.0,137.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2293.0,,,,,16.0,151.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2293.0,,,,,13.0,189.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2270.0,,,,,20.0,97.0,,,0.35,60.0,20
c1,,,,,51.621244,-115.608378,2278.0,,,,,45.0,82.0,,,0.75,,20
o1a,,,,,51.621244,-115.608378,2289.0,,,,,46.0,73.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2302.0,,,,,34.0,71.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2314.0,,,,,18.0,81.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2328.0,,,,,9.0,201.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2344.0,,,,,35.0,227.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2350.0,,,,,50.0,219.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2348.0,,,,,45.0,188.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2347.0,,,,,49.0,133.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2341.0,,,,,49.0,111.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2333.0,,,,,19.0,121.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2334.0,,,,,9.0,176.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2327.0,,,,,15.0,125.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2311.0,,,,,24.0,105.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2299.0,,,,,21.0,111.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2288.0,,,,,18.0,137.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2281.0,,,,,20.0,144.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2271.0,,,,,15.0,172.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2251.0,,,,,13.0,201.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2250.0,,,,,15.0,45.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2257.0,,,,,25.0,58.0,,,0.35,60.0,20
c1,,,,,51.621244,-115.608378,2267.0,,,,,40.0,62.0,,,0.75,,20
o1a,,,,,51.621244,-115.608378,2280.0,,,,,58.0,69.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2291.0,,,,,50.0,77.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2297.0,,,,,20.0,96.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2314.0,,,,,14.0,191.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2332.0,,,,,25.0,179.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2341.0,,,,,35.0,174.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2344.0,,,,,38.0,165.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2340.0,,,,,31.0,149.0,,,0.35,60.0,20
o1a,,,,,51.621244,-115.608378,2331.0,,,,,17.0,161.0,,,0.35,60.0,20
