simulation,ignition,weather
1,576,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather90.csv
2,3377,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather62.csv
3,1675,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather84.csv
4,6708,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather59.csv
5,7393,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather123.csv
6,5723,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather45.csv
7,391,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather97.csv
8,8304,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather30.csv
9,8869,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather50.csv
10,6654,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather36.csv
11,7687,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather23.csv
12,9801,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather67.csv
13,6179,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather33.csv
14,9901,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather85.csv
15,6491,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather108.csv
16,7912,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather71.csv
17,9904,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather99.csv
18,8595,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather79.csv
19,8741,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather30.csv
20,70,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather2.csv
21,5992,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather86.csv
22,9294,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather59.csv
23,451,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather41.csv
24,6878,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather108.csv
25,970,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather35.csv
26,4206,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather97.csv
27,936,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather28.csv
28,3974,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather114.csv
29,7993,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather118.csv
30,6380,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather59.csv
31,9875,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather5.csv
32,4660,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather41.csv
33,2849,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather61.csv
34,373,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather29.csv
35,6290,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather120.csv
36,6224,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather45.csv
37,9941,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather36.csv
38,8565,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather17.csv
39,3381,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather25.csv
40,5784,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather9.csv
41,4624,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather42.csv
42,7981,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather105.csv
43,2486,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather103.csv
44,1445,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather84.csv
45,1388,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather25.csv
46,143,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather29.csv
47,4031,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather66.csv
48,5937,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather22.csv
49,4719,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather128.csv
