simulation,ignition,weather
1,294,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather104.csv
2,595,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather73.csv
3,1209,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather57.csv
4,87,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather25.csv
5,691,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather44.csv
6,972,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather93.csv
7,393,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather81.csv
8,619,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather18.csv
9,480,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather100.csv
10,747,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather45.csv
11,565,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather70.csv
12,766,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather93.csv
13,873,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather60.csv
14,777,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather115.csv
15,906,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather37.csv
16,653,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather5.csv
17,205,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather111.csv
18,1111,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather51.csv
19,1414,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather74.csv
20,205,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather120.csv
21,357,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather60.csv
22,1430,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather39.csv
23,1158,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather57.csv
24,1560,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather32.csv
